ID,Country,Salary,YearsCodedJob,OpenSource,Hobby,CompanySizeNumber,Remote,CareerSatisfaction,Data_scientist,Database_administrator,Desktop_applications_developer,Developer_with_stats_math_background,DevOps,Embedded_developer,Graphic_designer,Graphics_programming,Machine_learning_specialist,Mobile_developer,Quality_assurance_engineer,Systems_administrator,Web_developer
3001,United Kingdom,30000,3,0,1,1,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
3002,India,11745.7054764352,3,1,1,10000,Not remote,8,1,0,0,0,0,0,0,0,0,0,0,0,0
3003,Germany,12903.2258064516,2,1,1,1,Remote,5,0,0,0,0,0,0,0,0,0,0,0,0,1
3004,Germany,86021.5053763441,16,1,1,20,Not remote,5,0,0,1,0,0,0,0,0,0,1,0,1,0
3005,United Kingdom,16250,2,0,0,1,Not remote,7,0,1,1,0,0,0,0,0,0,0,0,1,1
3006,United Kingdom,62500,6,0,1,20,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
3007,Germany,54838.7096774193,7,1,1,20,Not remote,5,0,1,1,0,1,0,0,0,0,0,0,0,1
3008,Canada,56060.6060606061,4,0,0,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
3009,United Kingdom,41250,5,0,1,1,Remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
3010,United Kingdom,46140,9,0,1,1000,Not remote,8,0,0,1,1,0,0,0,0,0,1,0,0,1
3011,Germany,43010.752688172,4,0,1,500,Not remote,8,0,0,1,0,0,0,1,0,0,1,0,0,1
3012,United Kingdom,43750,4,1,1,10000,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0
3013,India,7063,5,1,1,500,Remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
3014,United Kingdom,62243.75,8,0,0,10,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
3015,Germany,77419.3548387097,19,0,1,20,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3016,Germany,37634.4086021505,4,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,0
3017,India,22023.197768316,12,0,0,5000,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0
3018,Germany,45161.2903225806,1,0,0,10,Not remote,0,0,1,1,0,1,0,0,0,0,0,0,1,0
3019,Germany,46666.6666666667,9,0,1,10,Not remote,6,0,0,1,0,0,1,0,0,0,1,0,0,0
3020,Canada,68181.8181818182,7,0,0,10,Remote,10,0,1,0,0,1,0,0,0,0,0,0,0,1
3021,United States,64000,4,1,1,10000,Not remote,3,0,1,0,0,1,0,0,0,0,1,0,1,1
3022,India,27896.0505065335,1,0,1,10000,Not remote,7,1,0,0,0,0,0,0,0,0,0,0,0,0
3023,Germany,3279.56989247312,6,0,1,100,Not remote,6,0,0,0,0,0,0,0,0,0,1,0,0,1
3024,United Kingdom,52500,1,0,0,10000,Not remote,7,1,0,0,0,0,0,0,0,0,0,0,0,1
3025,United Kingdom,47500,1,0,1,500,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
3026,United States,62000,2,0,1,100,Not remote,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3027,United Kingdom,80962.5,12,0,0,1000,Not remote,7,0,0,1,1,0,0,0,0,0,0,0,0,0
3028,United States,145000,18,0,0,5000,Not remote,10,0,1,1,0,0,0,0,0,0,0,0,0,1
3029,United Kingdom,35000,2,0,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
3030,United Kingdom,37500,3,0,0,1000,Not remote,6,0,1,0,0,0,0,0,0,0,1,0,0,1
3031,United States,97000,9,0,0,1,Not remote,7,0,0,1,1,0,0,0,0,0,1,0,0,0
3032,United States,58000,1,0,1,10000,Not remote,10,0,0,0,0,0,0,0,0,0,1,0,0,1
3033,United States,80000,1,0,1,500,Not remote,10,0,0,0,1,0,0,0,0,0,1,0,0,1
3034,United States,75000,11,0,1,20,Remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
