id,name,popularity,album.id,album.name,album.total_tracks,track_number,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist
3I1JTx525DKElzlTYOBfZN,Best 4 U,54,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,1,239751,0.526,0.608,a#,-5.776,minor,0.169,0.127,0,0.113,0.372,93.311,4,Maroon 5
0GxQ1A5L9xnMOytbP6eKBG,What Lovers Do (feat. SZA),74,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,2,199849,0.799,0.597,f,-5.131,minor,0.0611,0.0788,5.66e-6,0.1,0.419,110.001,4,Maroon 5
3T9CfDxFYqZWSKxd0BhZrb,Wait,64,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,3,190642,0.655,0.603,g#,-5.014,major,0.0555,0.0959,0,0.107,0.452,126.088,4,Maroon 5
6SEBdRAW54AFwa8spgf0Ws,Lips On You,58,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,4,216930,0.652,0.555,a,-6.608,major,0.032,0.137,2.18e-5,0.09,0.107,103.043,4,Maroon 5
0RqTAf0gX3pXAJYAbYRDqA,Bet My Heart,54,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,5,196120,0.759,0.604,g#,-6.663,minor,0.051,0.141,0,0.149,0.418,121.096,4,Maroon 5
2C1Bhc9B8VoatLK71jcqpU,Help Me Out (with Julia Michaels),55,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,6,193603,0.934,0.564,b,-4.806,major,0.0638,0.461,1.84e-5,0.101,0.543,115.092,4,Maroon 5
4Uh8KTB8uLWfNe33e85X99,Who I Am (feat. LunchMoney Lewis),53,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,7,183427,0.812,0.67,f,-4.008,major,0.0901,0.172,3.29e-6,0.253,0.654,125.087,4,Maroon 5
33GjvFhe7CEj40gVDOwT1J,Whiskey (feat. A$AP Rocky),54,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,8,210422,0.604,0.405,a#,-8.279,major,0.0597,0.735,0,0.105,0.0861,103.98,4,Maroon 5
7npLlaPu9Mfno8hjk5OagD,Girls Like You,68,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,9,215229,0.611,0.462,c,-7.054,major,0.0646,0.558,1.01e-6,0.131,0.377,59.635,4,Maroon 5
4b6qcioYl2LpBctFrJ1kht,Closure,53,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,10,688741,0.748,0.813,c,-6.687,minor,0.0704,0.183,0.0518,0.424,0.445,116.962,4,Maroon 5
1N857bufDNDocn8hbmoNt7,Denim Jacket,53,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,11,232550,0.781,0.628,c#,-5.34,major,0.0668,0.161,0,0.0917,0.288,117.992,4,Maroon 5
0aeqToKAIt951omSGAyLS4,Visions,55,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,12,230727,0.594,0.762,c,-5.457,major,0.0581,0.0536,0,0.127,0.574,154.791,4,Maroon 5
5Kv03DcfJl3aPmLKZGZdJq,Plastic Rose,51,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,13,222885,0.666,0.736,b,-5.363,minor,0.137,0.00539,0,0.0613,0.477,110.389,4,Maroon 5
5o3GnrcFtvkdf3zFznuSbA,Don't Wanna Know (feat. Kendrick Lamar),70,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,14,214265,0.783,0.61,g,-6.124,major,0.0696,0.343,0,0.0983,0.418,100.047,4,Maroon 5
2NlTOhsAamXOaZciOXbITb,Cold (feat. Future),68,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,15,234308,0.693,0.717,a,-6.346,minor,0.107,0.14,0,0.0464,0.412,99.836,4,Maroon 5
6EvFLeZ3aUYoagV6K92cqq,Moves Like Jagger - Live In Manchester,42,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,16,299573,0.571,0.881,b,-4.791,minor,0.0605,0.0457,0,0.339,0.618,129.976,4,Maroon 5
7wXjEQzlkeyzuOeGvv3Gkv,Stereo Hearts - Live In Manchester,51,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,17,222680,0.618,0.758,g#,-4.368,major,0.0392,0.336,0,0.162,0.548,90.08,4,Maroon 5
5wr2eH56im5zU7bgmoiTus,Animals - Live In Manchester,50,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,18,270840,0.277,0.874,e,-5.22,minor,0.0414,0.0307,0,0.351,0.185,94.977,4,Maroon 5
6gHOuLzy1E9QbV0B7Z4iI9,Daylight - Live In Manchester,49,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,19,416400,0.456,0.696,d,-4.756,major,0.0398,0.0162,3.65e-6,0.918,0.271,115.983,4,Maroon 5
69UCc4p7AVm3FHUo6vKuYJ,Maps - Live In Manchester,50,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,20,262533,0.692,0.797,g#,-5.545,major,0.0376,0.104,6.64e-6,0.48,0.475,119.987,4,Maroon 5
2XP9LYVKKUoEDtx05Yonbq,This Love - Live In Manchester,39,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,21,301973,0.575,0.854,b,-5.112,minor,0.0407,0.124,0,0.181,0.453,98.913,4,Maroon 5
7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You (feat. Cardi B),77,1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),22,22,235545,0.851,0.541,c,-6.825,major,0.0505,0.568,0,0.13,0.448,124.959,4,Maroon 5
3tPHvT1HIHGXnOh204vGnX,Best 4 U,4,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,1,239751,0.526,0.608,a#,-5.776,minor,0.169,0.127,0,0.113,0.372,93.311,4,Maroon 5
1cPWughgzWBJa3PPVPjrmO,What Lovers Do (feat. SZA),6,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,2,199849,0.799,0.597,f,-5.131,minor,0.0611,0.0788,5.66e-6,0.1,0.419,110.001,4,Maroon 5
06gzWmTDhFTlYTnIlGcOsu,Wait,6,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,3,190642,0.655,0.603,g#,-5.014,major,0.0555,0.0959,0,0.107,0.452,126.088,4,Maroon 5
7eCcdP2vCfO7MOlSfxFEUR,Lips On You,5,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,4,216930,0.652,0.555,a,-6.608,major,0.032,0.137,2.18e-5,0.09,0.107,103.043,4,Maroon 5
3p99wnGNUZ699SR8a0WrT3,Bet My Heart,3,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,5,196120,0.759,0.604,g#,-6.663,minor,0.051,0.141,0,0.149,0.418,121.096,4,Maroon 5
27VpbzZvYkt5B9xLcWL4Sb,Help Me Out (with Julia Michaels),3,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,6,193603,0.934,0.564,b,-4.806,major,0.0638,0.461,1.84e-5,0.101,0.543,115.092,4,Maroon 5
17lJKvKGafJSXXCkMgIz5s,Who I Am (feat. LunchMoney Lewis),2,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,7,183427,0.812,0.67,f,-4.008,major,0.0901,0.172,3.29e-6,0.253,0.654,125.087,4,Maroon 5
0s7RKr4U6FyDgZ95BU1XiH,Whiskey (feat. A$AP Rocky),3,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,8,210422,0.604,0.405,a#,-8.279,major,0.0597,0.735,0,0.105,0.0861,103.98,4,Maroon 5
3IAVf2B5Omk3gy9JwDE42f,Girls Like You,12,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,9,214425,0.728,0.448,c,-7.508,major,0.0541,0.6,1.11e-6,0.131,0.385,62.526,4,Maroon 5
7kIwWa4Vp22J4djxBXkPpo,Closure,4,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,10,688741,0.748,0.813,c,-6.687,minor,0.0704,0.183,0.0518,0.424,0.445,116.962,4,Maroon 5
44laVOWo65GiS1Y0rkOlvv,Denim Jacket,5,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,11,232550,0.778,0.619,c#,-5.361,major,0.068,0.182,0,0.0947,0.288,118.019,4,Maroon 5
6nVSqYJjwLHfqAgaIbgwWs,Visions,2,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,12,230727,0.594,0.762,c,-5.457,major,0.0581,0.0536,0,0.127,0.574,154.791,4,Maroon 5
