ID,Country,Salary,YearsCodedJob,OpenSource,Hobby,CompanySizeNumber,Remote,CareerSatisfaction,Data_scientist,Database_administrator,Desktop_applications_developer,Developer_with_stats_math_background,DevOps,Embedded_developer,Graphic_designer,Graphics_programming,Machine_learning_specialist,Mobile_developer,Quality_assurance_engineer,Systems_administrator,Web_developer
1,United Kingdom,100000,20,0,1,5000,Remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0
2,United States,130000,20,1,1,1000,Remote,9,0,0,0,0,1,1,0,0,0,0,1,0,1
3,United States,175000,16,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Germany,64516.1290322581,4,0,0,1000,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
5,India,6636.32359418588,1,0,1,5000,Not remote,5,0,0,0,0,0,0,0,0,0,0,0,0,1
6,United States,65000,1,0,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
7,United States,110000,13,0,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Germany,53763.4408602151,4,1,0,5000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
9,United States,109400,7,1,1,20,Not remote,8,0,0,1,0,0,0,0,0,0,1,0,0,0
10,Germany,83870.9677419355,17,1,1,20,Not remote,9,0,0,1,1,0,0,0,0,0,0,0,0,0
11,United States,51000,1,0,0,20,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
12,United Kingdom,32500,1,1,0,10,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
13,United Kingdom,30000,1,0,1,20,Not remote,5,0,0,1,0,0,0,0,0,0,0,0,0,0
14,United States,90000,10,1,0,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
15,United States,115000,4,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
16,United States,93000,9,0,0,500,Not remote,7,0,0,1,1,1,0,0,0,0,0,1,0,0
17,United States,92500,14,1,1,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
18,United Kingdom,32500,2,0,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
19,United Kingdom,43750,1,1,1,1,Not remote,5,1,1,1,1,0,0,1,1,0,0,0,0,1
20,United Kingdom,113750,20,1,1,20,Not remote,9,0,0,1,0,1,0,0,0,0,1,0,0,1
21,United States,80000,5,0,0,500,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
22,United States,100000,14,0,1,20,Not remote,7,0,1,0,0,1,0,0,0,0,0,0,1,1
23,United States,120000,4,0,1,20,Not remote,10,0,1,1,1,1,0,0,0,0,1,0,1,1
24,United Kingdom,131250,14,0,0,20,Not remote,10,0,0,0,0,0,0,1,1,0,1,0,0,1
25,India,6606.95933049479,1,1,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
26,Germany,10752.688172043,1,0,1,10,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,1,1
27,Canada,87121.2121212121,10,0,0,20,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
28,Canada,54545.4545454545,8,0,0,1000,Not remote,10,0,1,0,0,0,0,0,0,0,0,0,1,1
29,United States,50000,15,1,1,1,Remote,10,0,1,0,0,0,0,0,0,0,0,0,1,1
30,United States,50000,2,1,1,10,Not remote,4,0,1,0,0,0,0,0,0,0,1,0,0,1
31,United States,185000,20,1,0,100,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
32,United States,160000,11,1,1,500,Remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
33,United States,63000,6,0,1,20,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
34,United States,67000,6,0,1,1000,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0
35,United States,103000,15,1,1,500,Remote,8,0,1,0,0,0,0,0,0,0,0,0,0,0
36,United States,65000,2,0,1,5000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
37,United Kingdom,63750,17,0,1,500,Not remote,5,0,0,1,0,1,0,0,0,0,0,0,0,1
38,United States,115000,8,1,0,20,Remote,6,0,0,0,0,1,0,0,0,0,0,0,0,1
39,United States,170000,18,0,1,10000,Remote,3,0,0,0,0,0,0,0,0,0,0,0,0,1
40,Canada,81060.6060606061,17,1,1,1000,Not remote,8,0,0,0,1,0,0,0,0,0,0,0,0,0
41,United Kingdom,77500,10,0,1,100,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
42,United States,97000,9,0,1,100,Remote,5,0,0,0,0,0,0,0,0,0,0,0,0,1
43,United States,120000,7,1,1,100,Remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
44,Germany,59139.7849462366,5,0,0,100,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,0
45,United Kingdom,75000,8,1,1,500,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
46,Germany,53763.4408602151,5,0,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
47,United States,110000,4,1,1,10000,Remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0
48,United States,85000,2,1,1,20,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
49,Canada,38484.8484848485,2,0,1,500,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
50,United States,165000,8,0,1,10000,Not remote,9,0,0,0,1,0,0,0,0,0,0,0,0,0
51,United States,100000,5,0,1,1,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
52,United States,61000,7,0,0,1000,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
53,United States,150000,20,1,1,1000,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,1,1
54,Germany,47311.8279569892,2,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
55,United States,110000,20,0,0,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
56,United States,88000,1,0,1,20,Not remote,2,0,0,0,1,0,0,0,0,0,0,0,0,1
57,Germany,40000,3,1,1,20,Not remote,7,1,0,0,0,0,0,0,0,0,0,0,1,1
58,United Kingdom,150000,17,1,1,1000,Not remote,8,1,0,0,0,0,0,0,0,1,0,0,0,0
